epoch,binary_accuracy,loss,lr,val_binary_accuracy,val_loss
0,0.6958189606666565,0.5893933176994324,0.001,0.6252763867378235,0.646766722202301
1,0.7537491321563721,0.49125543236732483,0.001,0.665906548500061,0.6144131422042847
2,0.7739979028701782,0.4610554575920105,0.001,0.7280265092849731,0.5423574447631836
3,0.7822218537330627,0.4443875253200531,0.001,0.6899530291557312,0.6245774030685425
4,0.7941775918006897,0.42265284061431885,0.001,0.7720425724983215,0.4797486364841461
5,0.8040601015090942,0.4054688513278961,0.001,0.7716970443725586,0.48211443424224854
6,0.8106772899627686,0.39348021149635315,0.001,0.7752211093902588,0.523729681968689
7,0.8122149109840393,0.39211514592170715,0.001,0.7938087582588196,0.43828704953193665
8,0.8186074495315552,0.3769611418247223,0.001,0.7749447226524353,0.5582581162452698
9,0.8229267597198486,0.37011173367500305,0.001,0.7894554734230042,0.41676944494247437
10,0.8323773145675659,0.3554506301879883,0.001,0.7822691798210144,0.4957940876483917
11,0.8333448767662048,0.35385754704475403,0.001,0.7647871971130371,0.519378125667572
12,0.8294402360916138,0.359132319688797,0.001,0.8032752871513367,0.4116745591163635
13,0.8409813642501831,0.3380167484283447,0.001,0.7298921942710876,0.6894023418426514
14,0.8433310389518738,0.3372664153575897,0.001,0.7665837407112122,0.49198585748672485
15,0.827470600605011,0.36508113145828247,0.001,0.7823383212089539,0.44459018111228943
16,0.8597615957260132,0.3057081997394562,0.0005,0.8179242610931396,0.3905821442604065
17,0.862405002117157,0.30333226919174194,0.0005,0.8197899460792542,0.40622466802597046
18,0.866499662399292,0.2924680709838867,0.0005,0.8226920962333679,0.3782123327255249
19,0.8667588233947754,0.29042914509773254,0.0005,0.7775704860687256,0.4647026062011719
20,0.8730995059013367,0.2824057638645172,0.0005,0.7976782917976379,0.43055421113967896
21,0.8739288449287415,0.28139594197273254,0.0005,0.8222774863243103,0.4130302965641022
22,0.8841395974159241,0.2607719302177429,0.00025,0.8211027979850769,0.38789093494415283
23,0.8878887295722961,0.25712648034095764,0.00025,0.8349226117134094,0.3631553649902344
24,0.8911541104316711,0.2487778514623642,0.00025,0.8334715366363525,0.3742731511592865
25,0.8909122347831726,0.2469300925731659,0.00025,0.8291183114051819,0.38298550248146057
26,0.8920525312423706,0.24407988786697388,0.00025,0.8327114582061768,0.3688855469226837
27,0.8989633917808533,0.23374973237514496,0.000125,0.839621365070343,0.3623124063014984
